,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score
1538327,1538425,US,32269084,R19B5JHSM4F3ZD,B00B1WCRV6,407752597,12 Count Box of Energems Milk Chocolate Energy Gems,Grocery,1.0,4.0,20.0,N,N,sooo ill!!!,A coworker and I are both very I'll from taking one each not recommended!!!!! We have severe stomach pain and chills from taking only one!!,2013-11-05,-0.7946
1544102,1544200,US,26881002,RYQJXYKFR5K07,B000I1RGQC,153344849,Back To Nature Cookies,Grocery,2.0,2.0,3.0,N,N,"Crazy, dangerous packaging","I buy a lot of these for my vending machines and have always liked the cookies but had questions about the packaging. Sometimes packages have twice as much product as they should; sometimes they seem light. Customers have complained (about the light ones, naturally; nobody ever said a thing about the overweight ones). Recently I received an open bag with a big magic-marker X on it. Clearly, whatever was in there was not supposed to be sold and consumed.<br /><br />I have tried contacting Back to Nature (actually Kraft) many times. Their phone number says to visit their website, and hangs up on you. The website looks like it takes messages, but all you get back is error messages. I put the bad bag into an envelope and mailed it to the address on the packages, but it came back as insufficient address. These people have put a lot of effort into not being reachable.<br /><br />What did you sell me, Kraft? What was in that open bag with the X on it? Why have you made yourselves impossible to reach?",2013-11-01,-0.8095
1545756,1545854,US,22999867,RWW45Y1LNAK8R,B009MFN8LC,43605802,"3 BALLERINA TEA DIETERS DRINK EXTRA STRENGTH, 1.88oz 18 Count(3 BOXES)",Grocery,4.0,4.0,7.0,N,Y,"It works, but you will feel sick","It does work and help to keep your weight down, but you will need to make sure you have access to a bathroom. I wouldn't recommend this for daily use, since that would just be a torture.",2013-10-30,-0.6387
1548046,1548144,US,25896841,R21T4FX2N9SPRC,B001EQ5OU0,643997794,"Sun Maid Calimyrna Figs, 6-Ounce Bags (Pack of 6)",Grocery,1.0,0.0,0.0,N,Y,rotten,half of the figs in the first bag i opened were either rotten or filled with a pollen dust. not to mention the heavy sulfur dioxide taste,2013-10-29,-0.5106
1549598,1549696,US,50426675,R2WY10TBYIJYYL,B00014E3LM,127590911,Sugar-Free Jelly Belly - 2.8 oz Bag,Grocery,1.0,7.0,8.0,N,N,feel like I have been poisoned,"I ate about half a bag of these, I ended up in the bathroom for hours. Severe stomach cramps, bloating, diarrhea & vomiting...I can't even hold down water ( I am sick from these as I am writing this review). They had the same effect on my wife. These should be removed from stores. BEWARE, EAT AT YOUR OWN RISK...THESE MADE MY WIFE AND I VERY SICK! To think, I actually paid money to make myself violently ill. I am disgusted with this product.",2013-10-28,-0.9692
1552252,1552350,US,17869813,RCZMTIL4LYSU4,B000FFLHU2,761498827,"Navitas Naturals Organic Maca Powder, 1 Pound Pouches",Grocery,1.0,0.0,3.0,N,N,Makes me sick,"This stuff is nasty. It gave me heart palpitations and insomnia, and triggered severe PMS symptoms including breast pain, headache, irritability, and bloating. So I read something online about being able to use this stuff as a facial mask, and I thought I could use it up that way, mixing it with almond milk and spreading it on my face to dry. Incredibly, I felt the same ill effects when using it as a mask. I guess it went right through my skin to the bloodstream. I ended up throwing it out. Horrible product, hard to understand its popularity.",2013-10-25,-0.9382
1553912,1554010,US,49021062,R2KA90L33IBOLM,B000LRH4VA,609103613,"Deli Fresh Greek Kefalograviera Cheese (Dodoni), approx. 16oz (1lb)",Grocery,1.0,0.0,0.0,N,Y,It was hot and rotten when it arrived made me sick,The cheese was no good when it arrived. It was hot and greasy and it took longer than usual to ship it so it went bad at some postal warehouse. It made me feel sick and was a waste of my hard earned money. I have ordered this cheese before and loved it but this batch went bad and tasted and smelled horrible.,2013-10-24,-0.9291
1557730,1557828,US,18585764,R3JNKNRM07MRKE,B000M5Y3BK,875017819,"Dirty Cracked Pepper and Sea Salted Potato Chips, 2 Ounce -- 25 per case.",Grocery,1.0,1.0,4.0,N,N,They are NOT all natual... some of the additives are dangerous.,Look up maltodextrin and malic acid....  both are ingredients in Dirty chips!!!!  The maltodextrin gives me and my<br />family extreme upset stomachs and diarrhea.  My friend could not figure out why she got diarrhea every time she<br />had a po boy and chips.  She cut out the chips and her stomach cleared up.  Maltodextrin is being added to too many<br />dairy products also.<br />I think it is very deceptive to call the additives in these chips all natural.,2013-10-21,-0.7405
1569906,1570004,US,47886396,R15AJ46N0C02U3,B003NUYBV8,786507052,Annie Chun's Roasted Seaweed Snacks,Grocery,1.0,1.0,7.0,N,Y,"Horrible, spelled and tasted like rotten fish.","Horrible.  Everyone in my house agreed.  The folks who eat vegetables, said it tastes like Rotten fish.  I agree.  These things were much thinner than a potato chip (basically see through), and were NOT crispy as advertised.  Basically, it was horrible.  My wife, daughter, and I all had 1 bite, and then threw the 12 packages away.  I wouldn't feed these to my dog because then my dogs breath would smell like rotten fish.",2013-10-10,-0.7184
1579911,1580009,US,2536950,R1OZ6KNAGFPY7T,B008PTV5NE,660436925,Doug's Last Wish Ultimate Steak Seasoning USDA Certified Organic,Grocery,1.0,3.0,3.0,N,N,"disgusting, sick, cruel!",What kind of twisted sick mind decided to come up with this?!  To mock the horrific slaughter of a gentle animal in this way- you are VILE!,2013-10-02,-0.9327
1581625,1581723,US,22224024,R3BYW8V2LDJYIY,B008PTV5NE,660436925,Doug's Last Wish Ultimate Steak Seasoning USDA Certified Organic,Grocery,1.0,1.0,2.0,N,N,Sick sick sick advertising,Man's inhumanity to his fellow Man is only eclipsed by his inhumanity to animals. Talk about brainwashing the public indeed...,2013-10-02,-0.3612
1583703,1583801,US,44161736,R2CCTU7S17JWCL,B001FCOODQ,63194739,"Celestial Seasonings Rooibos Tea, 20 Count (Pack of 6)",Grocery,5.0,0.0,2.0,N,N,Must have for sick season,"I've never taken echinacea, I don't know what it is. All I know is it says its wellness tea with lots of vitamin C. I had a cold for a week, not getting better at all, drank this two nights in a row, I have recovered atleast 50%. I noticed it the first day after I drank it I was feeling so much better. I usually drink sleepytime extra, but in cold and flu season I'll be drinking this one.",2013-09-30,-0.4599
1586953,1587051,US,35553453,RO1EWGONGRJO8,B004LKDDXQ,616047284,"Jeannie Prebiotics 100% No Animal Content Gelatin-free Dessert [High Fiber & Vitamin C], Assorted Flavor, 3.6oz Boxes (Pack of 12)",Grocery,1.0,5.0,8.0,N,N,"Ingredients contain artificial & dangerous food additive and linked to intestinal inflammation, IBS, and more","The boxes were packaged well and shipped on time.  Additionally, I received a personal note and two extra boxes to share.  However, I was quite disappointed with the ingredients of the desserts.  The desserts are marketed as \\""Functional Health Foods,\\"" and \\""it supports the immune system and maintains colon health.\\""  Yet, and I am really sorry I completely missed it, all the flavors contain different FD&C dyes (i.e. Red #40) which are artificial and dangerous (toxic) food additives.  Some flavors contain carrageenan which is linked to intestinal inflammation and Irritable Bowel Syndrome and more (for more information, go to either of these websites - [...]  AND/OR  [...] ).",2013-09-26,-0.7134
1594941,1595040,US,20366924,R1MVD28X4HOG6P,B000LKVJCC,577116249,"Organic Valley Organic Single Serve Milk, 8 Ounce Aseptic Cartons",Grocery,1.0,1.0,3.0,N,Y,Some of milk boxes were rotten!,"I have purchased several times for my daughter’s lunch milk. The other day she came home from the school and told me that the milk was rotten. I thought she just didn’t want to drink it. Next day, I sent the milk box with my husband and he texted me during his lunch time that said the box milk was rotten. So I returned the rest and never heard any apology from the seller .",2013-09-18,-0.7542
1595937,1596036,US,34913322,R2TVXZD8SHVHSM,B00CIX6P1U,475741917,"Vita Coco Kids Coconut Water, 6 Ounce Container",Grocery,1.0,6.0,11.0,N,Y,Made us sick,"I thought what a great healthy alternative to juice boxes, but they made my daughter so sick she was vomiting, so I tried one and got sick too. I drink Vita Coca all the time with no issues, just won't ever drink these again. They don't taste good either.",2013-09-18,-0.9454
1598696,1598795,US,33765039,R2MUWS0DY3SHAK,B004H4LPCM,105230861,"Bombay Basmati Brown Rice, 10-pounds Sack",Grocery,1.0,2.0,2.0,N,Y,This rice is very old and rotten,I ordered two 10 lbs sacs of this rice couple of weeks ago.  The rice is very very old and full with worms and bugs.  Disgusting!!!!!  Not even good for pig consumption.  NEVER EVER ORDER BOMBAY BROWN BASMATI RICE.  WASTE OF MONEY AND NERVES.,2013-09-15,-0.8496
1600703,1600802,US,29030690,RYEGRCPZ0HUV4,B00823KZQG,676783755,Ginger People Gin-Gins Natural Hard Candy - 3 pack - 3oz Bags - Great for morning sickness and nausea!,Grocery,1.0,4.0,6.0,N,N,Makes nauseous worse..,I was so desparate on finding anything that helps with my morning sickness that I bought 3 packs of this. I would highly recommend people to buy 1 pack first because this did not help with my nauseous at all. I didn't like the flavor and it actually make me more nauseous afterward. Now I'm stuck with 2 unopen packs. :(,2013-09-13,-0.4357
1606183,1606282,US,42456168,R39UI2E8FT95S2,B00B5KTBVS,160432132,Earth's Best Organic My First Vegetables Baby Food Variety Pack (Pack of 12),Grocery,1.0,0.0,1.0,N,Y,Horrible tasting - made my baby sick,"I relied on \\""Earth's Best\\"" as an organic wholesome brand.  I guess organic doesn't always mean its going to taste remotely to what is labeled?  I purchased this variety jar set as my babies \\""first foods\\"" and regret it very much so.  The carrots were the first we tried, by jar 2 my baby started vomiting violently.  We called the Dr who suggested a trip to ER.  They suspected food poisoning, as only food for baby is breast milk.  We stopped solids for 2 weeks, wondering if it was too early (it wasn't, baby was 6.5 months old - pediatrician approved for foods, ER too said this is not gag reflex but stomach issue due to food/quality).  We started again with the pea jar, and my baby only had 2 spoons and locked its mouth shut.  I wondered, can it taste so bland?  No.  It tasted like flour and water, super nasty, super fake taste, nothing even remotely like peas.  I felt so bad that I fed this poor quality to my baby, and vowed that was the end with Earth's Best, and from then only make my own baby food.<br /><br />Once in a while, I do buy ready made baby food, for fruits/veggies which are not in season.  My baby loves Plum Organics, no issues of gagging, no mouth shutting, and most importantly, no ER visits with possible food issues.",2013-09-09,-0.1765
1612140,1612239,US,47803931,R3ORM4WSF8FA51,B0096RP89G,429062167,Campbell's Go Soup Microwavable Pouch,Grocery,1.0,1.0,2.0,N,N,This soup made me physically ill.,"I have tried 5 different types of this Campbell's \\""Go\\"" soup and I have enjoyed them more than the Campbell's Chunky that I used to get. That is until I tried this one. I microwaved this for two and half minutes in the pouch, let it cool for about 10 minutes attempted to eat it. Ate the first spoonful and I detected a strangely overwhelming bitter taste, thought it was unpleasant/weird and went for another spoonful. After swallowing the second spoonful my stomach began clenching and I became ill. Needless to say I am more than just disappointed. I have had curry several times (usually at a restaurant) and I have never had this happen.",2013-09-04,-0.6771
1617803,1617902,US,14357194,R1MWSHZXKEQMDG,B00511ML8C,924192523,"Annie's Homegrown Snickerdoodle Bunny Cookies (Gluten-Free), 6.75 Ounce",Grocery,3.0,0.0,0.0,N,Y,"Good, but this batch made me sick!","I love these cookies, but I think I got a bad batch.  Everytime I ate them I was sick.  Not sure why?~",2013-08-30,-0.8763
1621831,1621930,US,32496992,RRPYJQR9F45FZ,B001EQ4J2Y,488670058,"Carnation Instant Breakfast Essentials, Variety Pack, 10 count, 1.26-Ounce Units (Pack of 3)",Grocery,1.0,1.0,3.0,N,N,The ingredients in Breakfast essentials made me sick,I wish they will have formula without Lactose and without Soy ingredients. I am sensitive to Lactose and allergic to soy products.The present formulas( Classic French vanilla and chocolate flavor) made me sick.,2013-08-27,-0.4215
1623938,1624037,US,47759083,R1H91E6JO4N68V,B0055TNGCK,419628890,Santo Domingo Ground Coffee 1lb. Bag,Grocery,1.0,0.0,7.0,N,Y,"Made me very ill, Coffee Drinkers Drink at your own risk.","Either someone tried to poison me or this coffee is really really strong, but about a half hour after drinking this evil stuff I began to feel some bad effects. Nausea, shakiness, stomach ache, dizziness, just really really bad! I have yet to find any other bad reviews about this causing anyone else such effects, but I am done with this forever. I am returning this to amazon for a refund, the tastes is wonderful but I got to pay for drinking it for the remainder of the day. Either I am really sensitive to this or I got a bad batch, not sure which since I have never had problems with coffee before and I usually drink Starbucks dark roast with no problems. Just wanted others to know the effects this coffee had on me, so the word is out there.",2013-08-25,-0.9816
1630406,1630505,US,17984183,R3NJX3V83YRF5O,B007MO3O6O,465571109,Udi's Gluten Free Everything Inside Bagel 14oz (Pack of 4),Grocery,1.0,3.0,3.0,N,N,It made me ill,I read all the reviews on the Celiact website and it sounded like just what I needed as I have Celiac disease and I am lactose intolerant. It made me very sick so I am thinking that it must have contained a form of lactose that was not apparent to me.,2013-08-20,-0.2716
1632381,1632480,US,11940744,R4CKR48FIAXMY,B006MYTUWM,535745256,Raspberry Yogurt Covered Pretzels (1 Pound),Grocery,1.0,2.0,6.0,N,Y,Made me sick,"Gave me the squirts for days until I took pepto and, a few days later, digestive enzymes.  Might be unfermented yogurt cultures that start fermenting in your stomach and colon,  Bad news!",2013-08-18,-0.5848
1632430,1632529,US,52723058,RRC8XXMNN51XV,B004T3QL2U,874161796,"Maxwell House International Coffee Suisse Mocha Cafe, 7.2-Ounce Cans (Pack of 4)",Grocery,3.0,0.0,3.0,N,Y,Too much sugar - dangerous - may become diabetics with that much sugar. Should,Too much sugar - dangerous - may become diabetics with that much sugar.<br />Should have been made available with Stevia instead of sugar,2013-08-18,-0.4767
1632765,1632864,US,11940744,RVZ4BKCT552XI,B005Y5Y6MY,88058320,"Blueberry Yogurt Pretzels, 1 Lbs",Grocery,1.0,2.0,2.0,N,Y,These made me sick,"Gave me the squirts for days until I took pepto and, a few days later, digestive enzymes.  Might be unfermented yogurt cultures that start fermenting in your stomach and colon,  Bad news!",2013-08-18,-0.5848
1632839,1632938,US,11940744,R9V5QVWJFB6EQ,B006O2R8DK,808158853,Yogurt Covered Pretzels 5 Pound Bag (Bulk),Grocery,1.0,2.0,5.0,N,N,Might make you sick,"Don't know if these are the same recipe as [[ASIN:B005Y5Y6MY B005Y5Y6MY]] or [[ASIN:B006MYTUWM B006MYTUWM]] , but those made me sick.  Had the squirts until I took pepto and, days later, digestive enzymes.  Recipe for those looks like unfermented yogurt cultures waiting to explode in your stomach and colon.  I would not suggest buying.",2013-08-18,-0.296
1634878,1634977,US,16857426,R3PF86JUSUT4NX,B005XOMBU0,482148715,Miracle Frooties 600mg Miracle Berry 5 Tablet pack XL Tablets,Grocery,3.0,0.0,2.0,N,Y,"Works, makes you sick","I had one of these and then I tried it on a lemon and it tasted like syrup, then I couldn't stop eating the lemon, then I got sick and died.",2013-08-16,-0.5442
1639538,1639637,US,46399519,R7GQ5C2UU4RYM,B0054GGTOG,921998102,"Hi-Country Beef Jerky, Teriyaki, 16-Ounce Value Pack",Grocery,1.0,0.0,1.0,N,Y,Came moldy and rotted. S*** packaging.,"This item arrived at my house two days late and tasted horrible. To my disgust and surprise, i found many pieces moldy and rotted. I am never buying this product again.",2013-08-12,-0.743
1640626,1640725,US,37225597,R3N5ZWRV52YNMG,B0074Q4RK2,538095111,Nabisco Oreo Sugar Free Chocolate Sandwich Cookies,Grocery,1.0,2.0,3.0,N,Y,rotten,This product was dried up - crumbled and most of all had no taste..never again will order this product for my family.,2013-08-11,-0.296
1642452,1642551,US,32806374,RTXRVTAIR5HCW,B004TPWSB6,211226093,"Sam Mills Pasta D'Oro Gluten Free Rigatoni, 1-Pound (Pack of 6)",Grocery,1.0,0.0,1.0,N,Y,gross!! Made me sick!,Maybe my body wasn't used to gluten free stuff or something...I felt sick all night after eating some of these.. I made the mistake of ordering 10 packs and  I threw them all away. I was going to donate to homeless but I realized they would hate it/and or feel sick! Too weird for me!,2013-08-10,-0.9207
1657001,1657101,US,33349064,RUPWFA8AIKPZ3,B008RWUKXK,81272795,KIND Healthy Grains Granola Clusters,Grocery,1.0,3.0,5.0,N,N,made me sick,Every time I ate this iwould get bad bloating-gas-diarrhea but it was hours later so I didn't connect it. The last time I ate it I had severe diarrhea that lasted all night. Idk what's in this stuff that would cause such a reaction - it was really bad,2013-07-28,-0.9001
1657084,1657184,US,12981869,R37C7XG824ZWL3,B00444X8MA,657871470,"Mario Pitted Black Olives, Medium, 3.25-Ounce Cans, (Pack of 12)",Grocery,2.0,1.0,1.0,N,Y,Some rotten cans,"Couple cans were full of rotten stinky olives, what a waste, couple cans were fine though, i do not recommend them",2013-07-28,-0.8364
1666919,1667019,US,35933078,RTRC5F7JSRDSW,B005DQCLNK,332025746,Iams Proactive Health Adult Chunks 17.5 Lbs,Grocery,1.0,0.0,0.0,N,Y,Made my dog sick,"I don't know how this particular bag differs from any other bag of IAMS I've purchased in the store, but my dog got sick after the first time he ate out of the bag I bought on Amazon. Had diarrhea for two days and was going all over the house. If you're going to order food from the internet, order it directly from a pet supply store, where they're more likely to do random QA inspections.",2013-07-19,-0.5267
1668737,1668837,US,41231332,ROCHCR5KKKTST,B001EO7LVM,698009410,"Bergin Nut Company Brazil Nuts Whole Raw, 16-Ounce Bags (Pack of 2)",Grocery,1.0,6.0,7.0,N,N,"Stale, 30% taste musty, rotten or otherwise off, lots of wasted nuts","Well, this wasn't a nice experience.<br /><br />I was browsing for organic nuts and stumbled across these.<br /><br />In the end, I ended up ordering them because they were some of the cheapest and largest amount of nuts I had found.<br /><br />When I finally received them, it turns out they were not organic.  I had to do a doubletake and immediately checked my order history.  It's true, they really weren't organic.<br /><br />Unfortunately, this is yet another one of Amazon's listing errors.  I apparently did not notice this prior to ordering either; think my brain read 'ounce' as 'organic'. I was searching for around 35 minutes prior to ordering, so that no doubt had something to do with it.<br /><br />I figured what the hell; they were already delivered, I really wanted nuts, and because nuts are encased in shells (and thus protected from things like pesticides.. for the most part), I decided I'd eat them.<br /><br />Oh boy..<br /><br />They are stale.  Both packages, stale.<br /><br />The best by date says January 26th 2014. (mfg code 171260)  Either they were not kept in proper storing conditions at Amazon's warehouse, or the best by date is a farce.  Or, even worse, they are stored poorly at Bergin's facilities.<br /><br />Even worse is the fact that on average about 1 nut out of 3 either tastes rotten, musty or otherwise has a foul taste to it, causing me to immediately spit it out, sometimes being forced to rinse my mouth out as well.  This is the worst part about it, as I could deal with them being stale, but constantly being hit with a foul taste so often is not acceptable in any way.<br /><br />I guess this is part of the reason I buy organic.  Quality control with almost all non-organic (hell, even some big organic) companies is absolutely terrible.<br /><br />Hoping I can get a refund or some sort of credit on this order.  I definitely do not want a replacement and am not buying the only organic product they offer ([[ASIN:B000WJ6C3I Bergin Nut Company Organic 16 Ounce]] after this experience.<br /><br />I guess I will have to either live without nuts (unhealthy) or try to pay up for a better, and obviously organic, brand of nuts (financial strain).  *sigh*<br /><br />If anyone knows where I can order organic nuts in bulk (5+ pound bags for example), please let me know.  Amazon's search feature is absolutely terrible and I could barely find such bulk products.rganic 16 Ounce]] after this experience.<br /><br />I guess I will have to either live without nuts (unhealthy) or try to pay up for a better, and obviously organic, brand of nuts (financial strain).  *sigh*<br /><br />If anyone knows where I can order organic nuts in bulk (5+ pound bags for example), please let me know.  Amazon's search feature is absolutely terrible and I could barely find such bulk products.",2013-07-18,-0.9678
1671737,1671837,US,11771212,R2WR542V6Z7GMD,B00DPJ4JQY,29370588,Fresh Spanish Limes (Kenepa) 2lbs,Grocery,2.0,8.0,8.0,N,Y,"Not high quality, mostly rotten","These were smaller than kenepas I've eaten in the past. Size isn't a huge deal... but half of these were rotten. Some too soft to touch without bursting, dark and gross. There were lots of sticks in the box, perhaps adding to the weight. Of the non-rotten ones, some tasted bitter, or sour. Most were astringent. I was rather disappointed, my friends were not able to share the opportunity to share a fruit I've had great experiences with in the past. That was disappointing.",2013-07-15,-0.908
1675054,1675154,US,11617695,R1XWRX2PJL30YK,B0064KKY38,327572975,Red Hots (Cinnamon Imperials)-2 1/2 lbs.,Grocery,1.0,14.0,17.0,N,Y,Unsanitary unsafe packaging,"These candies arrived in a simple consumer-grade zip-lock bag, not in manufacturer packing. The candy  appears to have been purchased in bulk and just scooped into bags and shipped. There is no reason to believe the weight is accurate, no reason to think the bag is sanitary ..no label as to content, weight, manufacturer, nutrition information...well you get the drift..it is in  plastic bag exactly like you have in your kitchen. I am sure this is totally illegal packaging and for good reason. This product should be puled from Amazon before someone gets sick.",2013-07-12,-0.4927
1680519,1680619,US,12755905,R3IRKU9NPGEI10,B00014FT06,954204624,"YS Royal Jelly/Honey Bee - Royal Jelly In Honey Ultra Strength, 21 oz gel",Grocery,5.0,8.0,13.0,N,Y,"This product made me sick:insomnia, I was wrong","I have been taking this product for the last 10 months together with bee pollen, zinc, omega, ginseng, bee honey. The last 4 months I have been very sick.I could not sleep. I have insomnia. I have been having awful nights. My live has been miserable. I was driving crazy, so I decided to go to the Doctor. He diagnosed me anxiety and indicates me to take 0.5 mg of alprazolam (a drug controlled by the Government) that produce side effects like decreasing of libido. After 1 month of taking this drug I decided to stop taking because of the side effects, and besides, I had the same the problem: insomnia. I really did not know what to do. I decided to take tila tea, valerian tea, melaton in that help me a little. One day I decided to look in the Internet the side effects of the bee royal jelly and found that this product could produce insomnia. Inmediately I stop drinking it. I started to sleep very good. THANKS TO GOD.<br /><br />Definitely,I was wrong, I stopped taking the product and I continued having insomnia, that means that the  product was not the problem, so I decided to take again because the product increase me my libido.<br /><br />So my rate will be increase from 1 star to 5 stars.",2013-07-07,-0.7348
1689532,1689632,US,41473727,R3YT9GNADS2C6,B00BP36RTY,290974606,Miracle Noodle Gluten-free Shirataki Pasta,Grocery,1.0,2.0,5.0,N,Y,Made me sick,"First off, I had no issue with the initial smell or the texture.  That being said...<br /><br />EDITED<br /><br />Everything I said about this could attributed to the very strong allergic reaction I had to this product.  I ended up making a trip to the ER, being put on steroids, and being miserable for more than a week.  I spent days weak as a kitten, dizzy like I was drunk, and had elevated blood pressure.  You probably won't have the same experience but I advise caution.  It left me horribly sick and feeling as if I would die.  But again, that's my personal experience which is why I've edited this review to reflect that.  I'm keeping the one star as it reflects my experience.<br /><br />Finally feel somewhat normal again after a week, still not 100% yet.  My review is very negative but I had a very strong reaction to this stuff.  If you are sensitive to some vegetables, fruits, and eggs like I am you definitely want to take caution when trying this product.  A shame, I could see myself getting a lot of mileage out of these as I seem to be the only negative reviewer who didn't have an issue with the smell and texture.",2013-06-29,-0.9742
1691150,1691250,US,19555847,R3EI4XYVE7V23K,B004P7N6FK,635778589,"Maisie Jane's Bagged Natural Almonds, 16-Ounce (Pack of 3)",Grocery,1.0,1.0,1.0,N,Y,Made me ill,"I read the reviews and thought this was going to be a good purchase.  The first day I had a large handful, within a short period of time, I was physically ill. I was suspect of course since I never had these almonds before.  I've had Planters and Diamond before with no issues, so I know I'm not allergic.  I waited nearly two weeks before I tried these almonds again, taking only 1/2 dozen and eating them alone so there was no chance of another food interfering here.  Sure enough, I was sick to my stomach again.<br />These are not a returnable item, so I'll just have to toss them.  Two unopened bags, but I'm not comfortable giving them away.  Not sure how to contact Amazon about possible food poisoning issues.  I don't see a proper contact us.. thought I could comment on the return, but that isn't happening.<br />Careful with these almonds folks.",2013-06-27,-0.9383
1691950,1692050,US,10664199,R2UJGAJX75BG72,B0037LGG48,890907890,"Coppertone Sport High Performance, Sunscreen Continous Spray SPF 100 6 oz",Grocery,1.0,0.0,2.0,N,N,"Cannot recommend this sticky, stinky product","This spray-on sun screen has a terrible smell which lingers on the skin and forms a sticky layer film which is very difficult to wash off. It's just gross. As enticing as it may be to purchase a spray-on, high-SPF sun screen, do not spend your money on this product. If you've already purchased it, call Coppertone. They'll send you a postage label to mail it to their lab and issue a refund.",2013-06-27,-0.8399
1695482,1695582,US,46738710,RJGNC0AWY2E1N,B001VNKZFK,886399345,"Frontier Tea Bag, 16 Ounce",Grocery,5.0,1.0,2.0,N,Y,Hell. Smells that will engulf your dwelling and will leave it stinky for days to come,"Prepare is out of your home. Trust me. This stinky stuff will be absorbed by everything in your house and smell wont leave for 3-4 days. And no, air sprays and freshners will not help. Works like a charm, stinks like a camel's PEE",2013-06-24,-0.6162
1696452,1696552,US,14697739,R32LM5TS2UABWZ,B001ESHOA6,210506881,Natural Raw Almonds (4 Pound Bag),Grocery,1.0,213.0,227.0,N,N,"Good, but dangerous.","I enjoyed the taste of these almonds.  However, when I contacted the company regarding their pasteurization method, they said that not only were all their \\""raw\\"" almonds pasteurized, but that they usually use the PPO method.  PPO is a highly toxic fumigation treatment with propylene oxide, which unbelievably, was used as a fuel by the American Motorcycle and National Hot Rod Associations....until they banned it, because of its known carcinogenic risks to human beings!<br />I don't even feel right throwing these almonds outside for the squirrels.  Yuck.  So disappointed.",2013-06-23,-0.8855
1704148,1704248,US,12947102,RP94WIMI85FOG,B00CMGGKDG,604725469,ICE CHIPS Variety Packs (6 Tins),Grocery,1.0,4.0,25.0,N,Y,Do not purchase if you have dogs...it is poison,Before purchasing this product make sure you do not have a dog in the house. This product contains xylitol which is poison for dogs. I was surpised how deadly this product is....Our chihuahua ate one sm chip and almost died....I was lucky after a $1500 vet bill and 3 days stay at pet er she will be okay...Dont risk it..Ithrew all mine away....please look up xylitol poisoning in dogs on the net before you purchase anything with xylitol.,2013-06-16,-0.6771
1707840,1707940,US,18785232,R3G8LU0AVLHBPN,B000O5UQ0A,279293429,5 Soup Sampler Gift Set Gourmet,Grocery,4.0,3.0,3.0,N,Y,Sent to a sick friend,They liked the soups. I would order again but not for a person who does not like spicy. Kind of out there with the spices!,2013-06-13,-0.2633
1713771,1713871,US,6241040,RK9EQZ8T9ZLU0,B000FKL0EU,612731533,"Altoids Curiously Strong Mint, 1.76-Ounce Tins (Pack of 12)",Grocery,1.0,0.0,1.0,N,N,"Very, very poor mint. Almost poison.","Unlike my colleagues who had an issue with the taste of the mint, mine was not so much with the taste of it as with, after a couple of days of having them, I experienced chest pain that I thought was the result of something I ate. Unfortunately for Altoids, I hadn't changed my diet, so the culprit is, yep, Altoids wintergreen mints. This is a shame, because I used to enjoy Altoids Cinnamon mints regularly, but I had no idea their Wintergreen flavor was poison. These suck.",2013-06-08,-0.9274
1721512,1721612,US,46685365,R3JQJW49DKEF9R,B003E6COMO,168556377,"Haribo Gold-Bears Minis, 72-Count, 1 Pound 9.4 Ounce",Grocery,2.0,0.0,3.0,N,Y,Made me sick!,"This product made me sick and I will avoid Haribo products in the future. However, other family members did find them o.k, but not good.",2013-06-01,-0.7058
1729737,1729837,US,37195884,RKN0MJMP8GY8H,B002AQP5MK,409319444,"Betty Crocker Gluten Free Brownie Mix, 16-Ounce Boxes (Pack of 6)",Grocery,1.0,8.0,9.0,N,N,I didn't even eat one and it made me sick!,"This brownie mix is not gluten free. I didn't get a chance to even eat a brownie. I only licked the whisk and spatula after mixing. About 15 minutes later I had stomach cramps and had to run to the bathroom (typical gluten reaction for me). If you are very sensitive to gluten I wouldn't take the chance with these brownies. I am surprised to see \\""celiac foundation\\"" on the box.",2013-05-25,-0.5076
1738925,1739026,US,10766177,R2U0Q9HQYEFYH3,B00132S0H4,725841849,Yam Bean/Mexican Turnip/Jicama 10 Seeds - Pachyrhizus,Grocery,1.0,2.0,2.0,N,Y,"Experienced gardener, rotten seeds!",Same as the previous reviewer. All seeds rotten. I've tried everything and am now out of seeds with nothing to show for it. Waste of time and money!,2013-05-17,-0.75
1739446,1739547,US,52071043,R3TZ4T7FBDRI5C,B00CG6O1K6,757259153,FTD Flowers Always You Bouquet-14 Stems,Grocery,2.0,0.0,0.0,N,N,Late and rotten,"Helped a friend order these for her mom. They arrived after four days, and evidently half the flowers were rotten. Next time she'll just look up a local florist and order direct.<br /><br />Fail.",2013-05-17,-0.0258
1740815,1740916,US,51760418,R3MFC83LTPB971,B002915VF2,663063844,ARCTIC ZERO Fit Frozen Desserts - 6 Pack - Chocolate Peanut Butter Creamy Pint,Grocery,1.0,1.0,2.0,N,N,Made me violently ill,I tried this on a hot afternoon when I had a hankering for ice cream and within hours I was violently ill throwing up and more- beware!,2013-05-15,-0.784
